titles,links
中能时评 | 全力以赴 坚决打好打赢迎峰度夏攻坚战,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651337077&idx=2&sn=f8578f081db73decba160df34dbd1f8d&chksm=bd5d461c8a2acf0a931ecd39b1e90d66c338fc4b2f99583b9de23aca0108ee3889afe0452623#rd
三部门权威回应迎峰度夏能源电力保供热点问题,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651337077&idx=3&sn=1cb0444c44d574cdf1a98af3d1e6eebf&chksm=bd5d461c8a2acf0a5c41850d74ac104aed672ae80c51f838b2b5c3e099e1debcec9d63a27c29#rd
迎峰度夏遇“大考”，看我们的,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651337077&idx=4&sn=c0cb1a95f290f1f5b19ed29946a52eee&chksm=bd5d461c8a2acf0a7ddcb1549e7c62df0242e839871f154b8477e611d669da16458569033c49#rd
6部门重磅发布！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651337012&idx=1&sn=132532fe975a4647187187c9858ce5c1&chksm=bd5d465d8a2acf4bc9f4e2059ca5fcc58c158a856619bd2ba4d57efa9436e9301454b0c4eb18#rd
国家能源局发布上半年光伏发电建设运行情况,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651337012&idx=2&sn=16a1f4994b7249eabc5fe396460c49be&chksm=bd5d465d8a2acf4b304f1c5707771f52a9c8314aefa75e0b10b4219ca6822fd64d81644910d4#rd
2023年“中国电力主题日”活动在京举办,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336921&idx=1&sn=e62c37db62a7b099379ff055b473fd2d&chksm=bd5d47b08a2acea69a85bf0e5567660f7c618334206ade5cd42a13370d6320fd40665f82d770#rd
科学使用空调 26度刚刚好,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336921&idx=2&sn=5629c7f4746fa285d1977beb09d79e86&chksm=bd5d47b08a2acea6ffeecfd8a294e37a3ddd8ef3df1bf8de221c585d888668c8c2a2ae5b4d13#rd
国务院政策例行吹风会介绍迎峰度夏能源电力安全保供有关情况（文字实录）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336881&idx=1&sn=85bf410d50627e7ef03eac33e1359357&chksm=bd5d47d88a2acece6ced592eea163677895d33d277fbc995126631de2b00ef9a9d1df7000776#rd
解锁光伏+水务场景 天合智能柔性系统解决方案正式上线,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336881&idx=2&sn=186f34ca54f208d6fe04338631343309&chksm=bd5d47d88a2acecea400cafaa66490320432f1b895d534e2695d655b69df34b628718cbe2c26#rd
国家能源集团上半年经营指标实现“双过半”,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336754&idx=1&sn=c9d321042e78becb1e36ac2b7d0ecbd2&chksm=bd5d475b8a2ace4d934e977c3cf1398b88b4fe8bc6ff4c0bccde2af46dabb51d04452b335374#rd
三峡船闸通过船舶突破100万艘次,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336754&idx=2&sn=884814dfba02129b78d857245fc2143e&chksm=bd5d475b8a2ace4d25ae5e0630384351593070936222e38a744312e65a0612e04f69b73b23c1#rd
守着热炉子，做5小时“心血管手术”！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336749&idx=1&sn=148bc0e6ecd622d2c134ef652b2dac8c&chksm=bd5d47448a2ace52559b138d1b11327a14f587c0d17515bb564f53da3f92ff3f83bf4c825125#rd
孙文彪被开除党籍,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336749&idx=2&sn=2333b792316e451b585b2521a0eea6eb&chksm=bd5d47448a2ace52e701e20e080e598da1094d2d933e3a8076713d818660fa50bb244c89e343#rd
又一特高压工程获国家发改委核准批复,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336662&idx=1&sn=fb60c08fcb9367aa8035d74e7b5277b7&chksm=bd5d58bf8a2ad1a9ce7b44783d447860a84a4a7ee82c6438595f79376153f227ef6d0f5c5cb8#rd
中核集团徐大堡核电项目3号机组穹顶吊装就位,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336662&idx=2&sn=d7bb4dd8c85fd9d1b089d6637d749ace&chksm=bd5d58bf8a2ad1a968e4ba6c83336ff443740b155cca8e20387a623926e02c5a0931b4eb2993#rd
中电联：预计全年全社会用电量同比增长6%左右（附报告全文）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336654&idx=1&sn=068515486a038b7ae4cb53736b99dfe2&chksm=bd5d58a78a2ad1b1d7b2c1c477d73f644cd14e3576b7b86d5ed3fbf1ec09c95fae05adce530e#rd
预告：国务院政策例行吹风会将于明日举行,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336654&idx=2&sn=a3e953367b209523c740611014a12902&chksm=bd5d58a78a2ad1b19199f941e1d47660b52e3318bd78cc92ce23d5cdb6b590a3b3a365e56404#rd
一流光伏产业高质量发展论坛在西宁举办,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336636&idx=1&sn=0819293425dd0fa6cd6899b23362ae4a&chksm=bd5d58d58a2ad1c3830bff4bcfdd397d11ede12d8cd1a099a5f8a54b6e188eef5017fdd62f4c#rd
涉嫌严重违纪违法，杨先春被查！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336636&idx=2&sn=f1f2c1e86690eb7971f23400998edeaa&chksm=bd5d58d58a2ad1c3e938921a8ed440884de8eda8f739dd042da7ea2bde0eb0cfcb8b6d32848a#rd
云南西电东送30年 送电规模全国第一,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336624&idx=1&sn=33d136c1f12cbf9c51e5419571888036&chksm=bd5d58d98a2ad1cf892a0e305a69c1bc6ef13df84f303869f9d925b64e6539fd878099952ec9#rd
“十四五”期间中国需要55万名至100万名“双碳”人才,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336624&idx=2&sn=9ba3197f5c4422b90ea13373a6dd2d51&chksm=bd5d58d98a2ad1cf121da68a5f3c3ee9f03b3eacda5b775e05855a86b5777b0fcf78bae2c8f2#rd
国家电网公司贯彻习近平总书记重要指示批示精神推进高质量发展工作会议召开,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336594&idx=1&sn=ab20bce33c4062aaa7a86408dfae7e85&chksm=bd5d58fb8a2ad1ed90096bd1fcf0b4b6db441bc7e0e31f13352d03e27f936bce4d74ac48b4b6#rd
评论 | 牢记“国之大者” 奋力推进高质量发展,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336594&idx=2&sn=92d153aedae24659c96ebc76574bf9b3&chksm=bd5d58fb8a2ad1edf0777d2a8ee45aefbe6a91ccbcaddefbbd9c606be2dea9daf73e97c4cbca#rd
《中国电力报·副刊》征稿啦！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336578&idx=1&sn=031430f535c25aad88ab9a2003928a6e&chksm=bd5d58eb8a2ad1fd85747040c0dca3e6932af281ae8b051d6c7fc9f7b941ea8b32ee7a72708d#rd
中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336577&idx=1&sn=9a4c090d9bd16bb8da4a1ed9dfbed804&chksm=bd5d58e88a2ad1fea0973cf8815ed5c7509bbe4daf7c19391d6485db70134e2fb6977cc0ff1a#rd
国家发改委发文 鼓励民间资本积极参与清洁能源领域细分行业,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336577&idx=2&sn=d1f1ad872ad62be223ba23294aee1c87&chksm=bd5d58e88a2ad1fea0607faa345e3f08e237a1a06953017a70de3b64af22c42d25fbfdddcf38#rd
中电联常务副理事长杨昆：大力提升电气化水平 助力实现中国式现代化,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336557&idx=1&sn=ea0408aaef26dc603024b944870287e5&chksm=bd5d58048a2ad112852844bdcc7eaf7ee4b02e05aa8590787c1f0f3ece169af62627f18e250d#rd
国家能源局直属事业单位招聘,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336557&idx=2&sn=9d68179b879f4cfa63b3ac32fc4a5584&chksm=bd5d58048a2ad112162e4771e8f4df42818cbb2160705cebaf8658c7fb0380cfc17610d40f8f#rd
可再生能源补贴发放进度和力度明显提高,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336556&idx=1&sn=f772689c332a0fe949dfb6454651e9d5&chksm=bd5d58058a2ad11381c24ba770bde8f1282aea41f81b690666bdef66ec7f8c3994d9e7b68967#rd
上半年光伏制造端主要环节增长超60%,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336556&idx=2&sn=a68d458b7a6766d05f29e790e3b7e175&chksm=bd5d58058a2ad11364d3fa4dfa5e7641899e19f722b6e270e2aff7646a9cba06bcf63406938b#rd
中国华能年中关键字：稳、进、新,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336508&idx=1&sn=7b987c466621de937453e2d2cac1bd02&chksm=bd5d58558a2ad14362785235b697e91908b9f3adc3c54cff9aab75d624a0e17fa6adaba7a3af#rd
加速构建新型电力系统前景几何？,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336508&idx=2&sn=68a770fbdfc6e75224ed2b9df326b0bd&chksm=bd5d58558a2ad143c3a8eb268f74a669da4caceeeddd9150a5bc400037a59f3637dd79e21773#rd
中国天然气发展报告（2023）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336488&idx=1&sn=1283afdc197d9f75046c0080c46a9440&chksm=bd5d58418a2ad157f1f1b0277f69ad41ba0c0e8e1fe496595e1cc9c6afd027f9fbb8ff0bf24a#rd
广东电网：尽快查明，绝不姑息！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336487&idx=1&sn=e06859f6922ae60c06ff5666323dca78&chksm=bd5d584e8a2ad158359e5e7dda18f127b0e6b43747f4255c62b5173c3988512206e28f47ae51#rd
3万亿度！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336442&idx=1&sn=71840211e41ec10985b980cd07581eaa&chksm=bd5d59938a2ad08577155e6bd240e740d50906e1b222063e9e367ab62bd95b36a4b78ae755df#rd
电力工业题材话剧《模式口》在北京首演,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336442&idx=2&sn=fbba84a0b2f273f7b82e83035144c98c&chksm=bd5d59938a2ad085d70a875a73710276ac169f16103fbf848bb0e8ec7f50f726818cb0ec6da7#rd
国家能源局公开征求意见,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336434&idx=1&sn=3aa70d70106f9b13411c0d8aadcdc297&chksm=bd5d599b8a2ad08d84501fe91f98aa0069874e152f0466a7a126a3f6ad5dca1ca8530713cbd7#rd
中国—IRENA合作专项工作组公开征集组长单位与成员单位,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336434&idx=2&sn=c71cf46616e8c5e7e0e5d74fe1b8bae0&chksm=bd5d599b8a2ad08df8d9f66f97ebb22143b092418e443df14707518d8da14badd5af27f504d2#rd
国家能源局全级次企业名单,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336434&idx=3&sn=8a2b318f5ae25cf2ffca9ffe543eeee8&chksm=bd5d599b8a2ad08d22ee3e63768107a2fd9ace02431deadd5a6e5b1600ad0bf7e85f46de7e98#rd
13部门重磅发布！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336416&idx=1&sn=26606cd5145b4f72e16d77864edc040c&chksm=bd5d59898a2ad09f1d34bcc2426494d078ded608f887e49441c4d911ac5187f692dac2b88f30#rd
废止、修改多项能源领域文件！国家发改委发布2023年3号令,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336416&idx=2&sn=561e18e83f63df8c33d7a22d2a3930a1&chksm=bd5d59898a2ad09f755ea250d1e03a1c323edf717962e113df7684eca859071850f128767abb#rd
国家能源局：20个项目入选第二批RCM试点,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336393&idx=1&sn=847ac15a4f9b7eb8a0c9f62c594d966f&chksm=bd5d59a08a2ad0b6604769459f7a84d8a72774b0b116a529c2e05f82a0c3a5c0edc0059dab63#rd
重要突破！这一特高压关键设备成功实现国产化,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336393&idx=2&sn=485bcb52b0607cdc7ae0a153a2cfb857&chksm=bd5d59a08a2ad0b63641884919a6de36b6b5bbeb1a9a67e806b59ba39656dd7372b89150e763#rd
国家能源局组织召开2023年大力提升油气勘探开发力度工作推进会,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336381&idx=1&sn=04cb5ccbd44e7400e9fa3e519f738566&chksm=bd5d59d48a2ad0c281811facdf5dd914a301bbfc2b461aff71da730f9d118ec018defefe7e18#rd
全球钻探难度最高！深地川科1井开钻！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336381&idx=2&sn=0a880f1cab9211436c0174c06003e3b2&chksm=bd5d59d48a2ad0c236fabbbd49c2dfd5f2c96ad99bf17283fe6506a9d50c67b54ce0dac12804#rd
刘国跃：加强党的创新理论武装 在中国式现代化新征程上践行六个担当,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336373&idx=1&sn=062f7590bca3f3803f8e75c6e01b5d66&chksm=bd5d59dc8a2ad0cae8dfc179706453af8e9dc5952f76db077c97d70905ace465c03efbe1188d#rd
易跃春：中国可再生能源迈入高质量跃升发展新阶段,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336373&idx=2&sn=7d98a12548264c11f197d98994ff352a&chksm=bd5d59dc8a2ad0ca262816bb9bd99416a6c5c6a1c77634991d5951a6abc4c727b36ad0921117#rd
国家电力投资集团领导层调整,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336345&idx=1&sn=cc2a3a698164af7257edce926d7508a3&chksm=bd5d59f08a2ad0e6f22ecb0c56b1e18b5c21c00387da0264ddd98015566c6609835ea2df3f94#rd
【校招】国家能源集团2024届暑期实习生招聘全面开启,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336345&idx=2&sn=6026a62ef45b8118e71b64a7f286fb29&chksm=bd5d59f08a2ad0e6a29d3bab0bb254dc2cbd5f51cbc061cced51d0ec43163cebdce41d81599e#rd
中共中央 国务院：支持民营企业加大可再生能源发电和储能等领域投资力度,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336323&idx=1&sn=1fb579573f56aeab7cd2efe6ecf01f4a&chksm=bd5d59ea8a2ad0fc22bc58dd325ec172d7328470a120f27a077bda3b1fadbcf8f993ba775f4b#rd
我国可再生能源发电总装机突破13亿千瓦,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336323&idx=2&sn=de80801184c08d8323f6de32456c09c0&chksm=bd5d59ea8a2ad0fcbee2d77c0d8d1c552bcd2b942abdf3047eeb357400a7d936649510b41039#rd
国家能源局发布1-6月份全国电力工业统计数据,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336323&idx=3&sn=90189f52dd7e75a7abef1d669b93dfad&chksm=bd5d59ea8a2ad0fcfefb0ffe9f43e251fd6763fc9da07a4b9ef18ba7a8323361fe50e23e1261#rd
工信部：实施电力装备绿色低碳创新发展行动，积极培育氢能、新型储能等新兴产业,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336309&idx=1&sn=faf9debfcbf804ce6e3cce6589fbc7e8&chksm=bd5d591c8a2ad00a105725d1c2c30d3835c0d45e1086dc8f7c5691cb9f533fd0b69a15bc4621#rd
国投电力公司原党委书记郭启刚回国投案,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336309&idx=2&sn=ce9d0030634db896b1dcdef68f20c47b&chksm=bd5d591c8a2ad00a93eb72d0b25c083b7c0f0df5e881570b338660e7a2113b886e22d2cf04ad#rd
国家能源局通知,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336308&idx=1&sn=2e58e891b8c176ec7d8b5a7816f7f52d&chksm=bd5d591d8a2ad00b8523e3ce873e07937cfd018e627d6834caa4573209af64f7a71c2d02a6a3#rd
全球首台并网发电 有望在明年实现批量化应用,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336308&idx=2&sn=d1f78619c39389cca1b589ab4a2c8167&chksm=bd5d591d8a2ad00b944c8a18be2ce7d12b2b2710c2cb97e04041be9fa71d7dade82f256da43d#rd
章建华：深入学习贯彻习近平生态文明思想 着力推动能源绿色发展,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336287&idx=1&sn=6df21c6333f9dc85eb50f2ff5473442d&chksm=bd5d59368a2ad02071bebf32e54218ba1e87c9be05ba8d190cbd1f566b3570bffcf2ff3266e7#rd
向海平：我国以新能源和储能为代表的新兴产业实现跨越式发展,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336275&idx=1&sn=662ee7b2b6911cda00dd7b54c5263d5b&chksm=bd5d593a8a2ad02c3d6354d7e906e66314191b184f3cc6bfed685f6f178fa41002af4a1114f8#rd
习近平在全国生态环境保护大会上强调 全面推进美丽中国建设 加快推进人与自然和谐共生的现代化,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336244&idx=1&sn=8fc82d71d59f99f8b08a8f77b93b6d87&chksm=bd5d595d8a2ad04b616c345b08fb0830b2daa7d95aba4f838bb49a4b374da88722e5f3d2cb0b#rd
2023年工业节能诊断服务工作启动,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336240&idx=1&sn=234464a21d18a2691f695777c6750b95&chksm=bd5d59598a2ad04f24c5b932613ca7717d722127b5fb041077c72f61f983f2703782364f3039#rd
累计交易规模破百亿！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336240&idx=2&sn=720bf1e3fc862eafecdf6d7dca725bb8&chksm=bd5d59598a2ad04fc1cf23dd5de0c9b034b77cba7f0150235e6690f7b2eb51b46449a015a5cb#rd
国家发改委发布：上半年全社会用电量同比增长5.0%（附发布会全文实录）,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336228&idx=1&sn=e53acdb9990e89cf5e81c9a93030e0fd&chksm=bd5d594d8a2ad05b98af26753bb9a03e7f5f711226e009df0039d2448a90de4fbafda00ab452#rd
生态环境部重要通知 事关所有火电厂！,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336228&idx=2&sn=bd26918196f7978c64c896a51bfbf5e8&chksm=bd5d594d8a2ad05b563df6abc64f2515eff2657c46c175947fc44865c8aaa7f109a3ec7cff3b#rd
国家发改委公开征求意见,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336200&idx=1&sn=969edc52ec4b1596123b6861b93c1acf&chksm=bd5d59618a2ad0775b428d33d3ba410bf9cb8e1ed5917f9b90b20ef52c92188f8eb4463b78a3#rd
国家能源局复函,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336200&idx=2&sn=a0684192421e9fa4341fda1c71726016&chksm=bd5d59618a2ad077676f8c589e6423b10dd2084675c6fa982402f128b8d4a0d73697152188f3#rd
半年报 | 哈电集团实现“双过半”,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336197&idx=1&sn=4802264b887fdc2d3ae3f0e4b3ef05ba&chksm=bd5d596c8a2ad07aab35db4a1e4731e2558ba71e53dcad7d517d3164658b6bcb4b1063daf534#rd
半年报 | 晶澳科技向全年千亿营收冲刺,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336197&idx=2&sn=4a9271ba167a16b9fdf03421aae29442&chksm=bd5d596c8a2ad07a50fe8aaa21e6cd4635ad4af43e7dc204ae27cddc63ec448a65f2516b7202#rd
国家统计局发布上半年能源生产情况,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336170&idx=1&sn=29a32b732bd509b165d2a6f54937c32f&chksm=bd5d5a838a2ad395b82cb3261eec205c3b7bf2a2654ed731460dae109d3d424637aff6249c9c#rd
近十年规模以上工业单位增加值能耗累计下降超过36%,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336170&idx=2&sn=c1cc841139a31fa7e96d23af66dad119&chksm=bd5d5a838a2ad3958d250c29049be598912653b8a0e6baba60289594688e23082cccb0672136#rd
中国大唐集团领导层调整,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336148&idx=1&sn=faa4b6fd0a7bbad22e6645015ca3bb86&chksm=bd5d5abd8a2ad3ab27677b92171b19f46691c01d3348587605d69a8ed144e97e526acd7ac00b#rd
丁薛祥调研迎峰度夏能源电力安全保供工作,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336139&idx=1&sn=b9c54ab2cc5a1f5476c3ac5d63d9c92f&chksm=bd5d5aa28a2ad3b4b73da9ec5088af8eab0b9cbdbe9a0b9bbb72efcb6dbf6a6eae93550f20ab#rd
国家能源局将研究制定电力市场“1+N”基础规则制度,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336133&idx=1&sn=846ee34dc96d4976d6be26490e5cc8d4&chksm=bd5d5aac8a2ad3bacd50ad7b45b66703b497bf57e815056c4d1c074a2f07b31b4e79f3294fb4#rd
国资委重磅发布中央企业经营业绩考核A级名单,http://mp.weixin.qq.com/s?__biz=MjM5MjcyNzU1OA==&mid=2651336128&idx=1&sn=0f00630abc7873aa55f7b5d406e21fef&chksm=bd5d5aa98a2ad3bf7be76d50cd7d0e46005878125f9040387c0244b4f7f3e1b9a2dac80262af#rd
